title	URL	item_id	seller	seller_id	销量
【国行原封】Canon/佳能70D套机18-135 STM单反相机 媲D7200 700D	http://world.taobao.com/item/521725105693.htm#detail	521725105693	腾佳数码	316983842	2235
Canon/佳能EOS 700D套机18-55STM18-135STM单反相机 媲70D 1200D	http://world.taobao.com/item/521001029222.htm#detail	521001029222	佰得国际一号	2344494368	1999
Canon/佳能EOS700D(18-55mm)/18-135STM单反数码相机媲70D秒D5300	http://world.taobao.com/item/41802068265.htm#detail	41802068265	10数码男生	712156420	1934
全国联保 Canon/佳能70D套机18-135 STM镜头单反相机 胜700D媲6D	http://world.taobao.com/item/521000829783.htm#detail	521000829783	佰得国际一号	2344494368	1853
Canon/佳能70D套机18-135IS STM单反数码相机胜700D超D7200 D7100	http://world.taobao.com/item/40275639106.htm#detail	40275639106	10数码男生	712156420	1823
Canon/佳能EOS 700D套机18-55STM18-135STM单反相机 媲70D 1200D	http://world.taobao.com/item/43736454825.htm#detail	43736454825	时尚不打烊3	838810927	1305
Canon/佳能70D套机18-135 IS STM镜头单反相机18-200媲700D 1200D	http://world.taobao.com/item/43677158704.htm#detail	43677158704	时尚不打烊3	838810927	1035
全国联保 Canon/佳能 700D(18-55/18-135IS)STM 套机 正品行货	http://world.taobao.com/item/523084126902.htm#detail	523084126902	华通数码_英子	89869947	715
佳能EOS 700D/18-55 STM套机单反相机 触摸屏 正品行货 全国联保	http://world.taobao.com/item/45410114111.htm#detail	45410114111	易天正品数码	1740501599	330
【正品行货】Canon/佳能700D 18-55 套机 18-135stm 媲70D D7200	http://world.taobao.com/item/44799642380.htm#detail	44799642380	深港数码333	810252403	276
【正品行货 全国联保】佳能700D套机18-55单反相机胜100D 600D	http://world.taobao.com/item/37994506504.htm#detail	37994506504	滋补养参	912749492	270
特价双12 佳能70D套机18-135IS STM 18-200镜头 单反相机胜700D	http://world.taobao.com/item/36149035759.htm#detail	36149035759	中关村数码大掌柜	196923597	265
